time,input,pll_output,theta,frequency,phase_error,loop_filter,lock_state
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
0.000000,0.000000,0.000000,0.0000,50.00,0.0000,0.000,0
